Accession,Name,Label_Phenotyping,,,Grain_weight(g),N_seeds,Average_weight,Adjusted_weight
GSOR 311255,Saraya,07-30-2021_EpsonV600_126,,,2.5423,100,0.025423,2.5423
GSOR 311258,Botika S/R,07-30-2021_EpsonV600_127,,,2.6739,100,0.026739,2.6739
GSOR 311266,CO 13,07-30-2021_EpsonV600_128,,,1.9404,100,0.019404,1.9404
GSOR 311269,Shimla Early,07-30-2021_EpsonV600_129,,,2.0148,100,0.020148,2.0148
GSOR 311278,Montakcl,07-30-2021_EpsonV600_130,,,2.3045,100,0.023045,2.3045
GSOR 311281,A 152,07-30-2021_EpsonV600_131,,,2.7687,100,0.027687,2.7687
GSOR 311284,LA PLATA GENA F.A.,07-30-2021_EpsonV600_132,,,1.9473,100,0.019473,1.9473
GSOR 311286,UZ ROS 59,07-30-2021_EpsonV600_133,,,2.5495,100,0.025495,2.5495
GSOR 311327,Gasym Hany,07-30-2021_EpsonV600_134,,,2.7264,100,0.027264,2.7264
GSOR 311383,DARMALI,07-30-2021_EpsonV600_135,,,1.7915,100,0.017915,1.7915
GSOR 311385,KAUKKYI ANI,07-30-2021_EpsonV600_136,,,1.6606,100,0.016606,1.6606
GSOR 311393,Celiaj,07-30-2021_EpsonV600_137,,,3.1486,100,0.031486,3.1486
GSOR 311417,CNTLR80076-44-1-1-1,07-30-2021_EpsonV600_138,,,2.685,100,0.02685,2.685
GSOR 311423,IR 58614-B-B-8-2,07-30-2021_EpsonV600_139,,,2.6829,100,0.026829,2.6829
GSOR 311435,"CM1, HAIPONG",07-30-2021_EpsonV600_140,,,3.1547,100,0.031547,3.1547
GSOR 311466,KECHENGNUO NO. 4,07-30-2021_EpsonV600_141,,,2.913,100,0.02913,2.913
GSOR 311483,4484,08-03-2021_EpsonV600_142,,,2.5419,100,0.025419,2.5419
GSOR 311484,4595,08-03-2021_EpsonV600_143,,,2.3171,100,0.023171,2.3171
GSOR 311491,YOU-I B,08-03-2021_EpsonV600_144,,,2.347,100,0.02347,2.347
GSOR 311497,CHUNJIANGZAO NO. 1,08-03-2021_EpsonV600_145,,,2.2977,100,0.022977,2.2977
GSOR 311532,Egyptian Wild Type,08-03-2021_EpsonV600_146,,,2.2796,100,0.022796,2.2796
GSOR 311537,A 5,08-03-2021_EpsonV600_147,,,2.2055,100,0.022055,2.2055
GSOR 311539,C.B. II,08-03-2021_EpsonV600_148,,,2.2109,100,0.022109,2.2109
GSOR 311544,Gallawa,08-03-2021_EpsonV600_149,,,1.8958,100,0.018958,1.8958
GSOR 311545,Ittikulama,08-03-2021_EpsonV600_150,,,2.538,100,0.02538,2.538
GSOR 311554,Srav Prapay,08-03-2021_EpsonV600_151,,,2.1564,100,0.021564,2.1564
GSOR 311561,Nang Bang Bentre,08-03-2021_EpsonV600_152,,,2.6868,100,0.026868,2.6868
GSOR 311563,DNJ 179,08-03-2021_EpsonV600_153,,,2.4622,100,0.024622,2.4622
GSOR 311572,DJ 24,08-03-2021_EpsonV600_154,,,2.0923,100,0.020923,2.0923
GSOR 311573,DJ 102,08-03-2021_EpsonV600_155,,,2.6832,100,0.026832,2.6832
GSOR 311576,DNJ 121,08-03-2021_EpsonV600_156,,,1.988,100,0.01988,1.988
GSOR 311586,Santhi 990,08-03-2021_EpsonV600_157,,,2.4087,100,0.024087,2.4087
GSOR 311592,UZ ROS 7-13,08-03-2021_EpsonV600_158,,,2.1532,100,0.021532,2.1532
GSOR 311596,SL 22-620,08-03-2021_EpsonV600_159,,,2.0912,100,0.020912,2.0912
GSOR 311600,Jyanak,08-03-2021_EpsonV600_160,,,1.6504,100,0.016504,1.6504
GSOR 311606,Dhan,08-03-2021_EpsonV600_161,,,0.4353,20,0.021765,2.1765
GSOR 311613,Spin Mere,08-03-2021_EpsonV600_162,,,1.8429,100,0.018429,1.8429
GSOR 311620,Romeno,08-03-2021_EpsonV600_163,,,2.4363,100,0.024363,2.4363
GSOR 311642,Tia Bura,08-03-2021_EpsonV600_164,,,2.5357,100,0.025357,2.5357
GSOR 311643,Padi Tarab Arab,08-03-2021_EpsonV600_165,,,3.0918,98,0.03154897959,3.154897959
GSOR 311644,IRRI-IRGC-28372,08-03-2021_EpsonV600_166,,,1.2583,100,0.012583,1.2583
GSOR 311654,CAROLINO 164,08-03-2021_EpsonV600_167,,,2.1513,100,0.021513,2.1513
GSOR 311656,ASWINA 330,08-03-2021_EpsonV600_168,,,2.0026,100,0.020026,2.0026
GSOR 311667,HKG 98,08-03-2021_EpsonV600_169,,,2.3366,100,0.023366,2.3366
GSOR 311668,Daudzai Field Mix,08-03-2021_EpsonV600_170,,,2.014,100,0.02014,2.014
GSOR 311669,JP 5,08-03-2021_EpsonV600_171,,,2.9057,84,0.03459166667,3.459166667
GSOR 311677,Karabaschak,08-03-2021_EpsonV600_172,,,2.9289,99,0.02958484848,2.958484848
GSOR 311684,Hi Muke,08-03-2021_EpsonV600_173,,,1.7397,100,0.017397,1.7397
GSOR 311685,WIR 911,08-03-2021_EpsonV600_174,,,1.8715,100,0.018715,1.8715
GSOR 311688,GPNO 25912,08-03-2021_EpsonV600_175,,,0.4189,20,0.020945,2.0945
GSOR 311689,LG 9,08-03-2021_EpsonV600_176,,,0.4484,20,0.02242,2.242
GSOR 311693,UG 22,08-03-2021_EpsonV600_177,,,0.3167,10,0.03167,3.167
GSOR 311694,HG 24,08-03-2021_EpsonV600_178,,,0.4171,15,0.02780666667,2.780666667
GSOR 311695,NSGC 5944,08-03-2021_EpsonV600_179,,,0.1927,15,0.01284666667,1.284666667
GSOR 311697,,08-03-2021_EpsonV600_180,,,0.1562,15,0.01041333333,1.041333333
GSOR 311698,IRRI-IRGC-101524,08-03-2021_EpsonV600_181,,,0.3102,15,0.02068,2.068
GSOR 311699,A100943-R,08-03-2021_EpsonV600_182,,,0.4759,20,0.023795,2.3795
GSOR 311710,Lua Chua Chan,08-03-2021_EpsonV600_183,,,1.8737,100,0.018737,1.8737
GSOR 311713,Sereno,08-03-2021_EpsonV600_184,,,2.3457,100,0.023457,2.3457
GSOR 311725,A 36-3,08-03-2021_EpsonV600_185,,,2.0121,100,0.020121,2.0121
GSOR 311727,Nahng Sawn,08-03-2021_EpsonV600_186,,,2.9525,97,0.03043814433,3.043814433
GSOR 311734,ARC 10633,08-03-2021_EpsonV600_187,,,2.3737,100,0.023737,2.3737
GSOR 311735,Simpor,08-03-2021_EpsonV600_188,,,2.3869,100,0.023869,2.3869
GSOR 311736,Coppocina,08-03-2021_EpsonV600_189,,,2.8636,100,0.028636,2.8636
GSOR 311739,FUJISAKA 5,08-03-2021_EpsonV600_190,,,1.5522,100,0.015522,1.5522
GSOR 311741,Soc Nau,08-03-2021_EpsonV600_191,,,2.1678,100,0.021678,2.1678
GSOR 311744,Heo Trang,08-03-2021_EpsonV600_192,,,2.2366,100,0.022366,2.2366
GSOR 311745,WONG CHIM,08-03-2021_EpsonV600_193,,,1.8692,100,0.018692,1.8692
GSOR 311748,Bogarigbeli,08-03-2021_EpsonV600_194,,,2.3356,100,0.023356,2.3356
GSOR 311751,Magoti,08-03-2021_EpsonV600_195,,,2.177,100,0.02177,2.177
GSOR 311765,Pa Boup,08-03-2021_EpsonV600_196,,,2.1701,100,0.021701,2.1701
GSOR 311769,Pakkali,08-03-2021_EpsonV600_197,,,1.8584,100,0.018584,1.8584
GSOR 311775,THAVALU,08-03-2021_EpsonV600_198,,,2.1853,100,0.021853,2.1853
GSOR 311779,Lukip,08-03-2021_EpsonV600_199,,,2.9855,78,0.03827564103,3.827564103
GSOR 311781,Krachek Chap,08-03-2021_EpsonV600_200,,,2.4964,100,0.024964,2.4964
GSOR 311787,KRASNODARSKIJ 3352,08-03-2021_EpsonV600_201,,,2.8586,100,0.028586,2.8586
GSOR 311788,EMBRAPA 1200,08-03-2021_EpsonV600_202,,,2.8566,100,0.028566,2.8566
GSOR 311790,WAB462-10-3-1,08-03-2021_EpsonV600_203,,,2.4707,100,0.024707,2.4707
GSOR 311792,CYPRESS,08-03-2021_EpsonV600_204,,,2.1088,100,0.021088,2.1088
GSOR 311793,IR 64,08-03-2021_EpsonV600_205,,,2.36,100,0.0236,2.36
GSOR 311794,M-202,08-03-2021_EpsonV600_206,,,2.7488,100,0.027488,2.7488
GSOR 311795,NIPPONBARE,08-03-2021_EpsonV600_207,,,2.4107,100,0.024107,2.4107
GSOR 310196,81B/25,08-03-2021_EpsonV600_208,,,2.3937,100,0.023937,2.3937
GSOR 310226,NORIN 11,08-03-2021_EpsonV600_209,,,2.089,100,0.02089,2.089
GSOR 311547,Karayal,08-03-2021_EpsonV600_210,,,2.7125,100,0.027125,2.7125
GSOR 311635,AMANE,08-03-2021_EpsonV600_211,,,2.585,100,0.02585,2.585
GSOR 311603,TOg 7025,08-03-2021_EpsonV600_212,,,2.1922,100,0.021922,2.1922
GSOR 311690,TOg 7135,08-03-2021_EpsonV600_213,,,2.3639,100,0.023639,2.3639
GSOR 311692,TOg 7257,08-03-2021_EpsonV600_214,,,0.6142,20,0.03071,3.071
GSOR 311691,TOg 7161a,,,,0.5522,20,0.02761,2.761
